BALKRISIND.NS,N200
BANKINDIA.NS,N200
BATAINDIA.NS,N200
BEL.NS,N200
BHARATFORG.NS,N200
BHEL.NS,N200
CANBK.NS,N200
CLEAN.NS,N200
COFORGE.NS,N200
CONCOR.NS,N200
COROMANDEL.NS,N200
CROMPTON.NS,N200
CUMMINSIND.NS,N200
DALBHARAT.NS,N200
DEEPAKNTR.NS,N200
DIXON.NS,N200
LALPATHLAB.NS,N200
EMAMILTD.NS,N200
ESCORTS.NS,N200
EXIDEIND.NS,N200
FEDERALBNK.NS,N200
FORTIS.NS,N200
GLENMARK.NS,N200
GODREJPROP.NS,N200
GUJGASLTD.NS,N200
GSPL.NS,N200
HAL.NS,N200
HINDPETRO.NS,N200
HINDZINC.NS,N200
HONAUT.NS,N200
ISEC.NS,N200
IDBI.NS,N200
IDFCFIRSTB.NS,N200
INDIAMART.NS,N200
INDIANB.NS,N200
IEX.NS,N200
INDHOTEL.NS,N200
IRCTC.NS,N200
IGL.NS,N200
IPCALAB.NS,N200
JSWENERGY.NS,N200
JINDALSTEL.NS,N200
L&TFH.NS,N200
LTTS.NS,N200
LICHSGFIN.NS,N200
LAURUSLABS.NS,N200
MRF.NS,N200
M&MFIN.NS,N200
MANAPPURAM.NS,N200
MFSL.NS,N200
MAXHEALTH.NS,N200
METROPOLIS.NS,N200
MPHASIS.NS,N200
NATIONALUM.NS,N200
NAVINFLUOR.NS,N200
NAM-INDIA.NS,N200
OBEROIRLTY.NS,N200
OIL.NS,N200
OFSS.NS,N200
POLICYBZR.NS,N200
PAGEIND.NS,N200
PERSISTENT.NS,N200
PETRONET.NS,N200
POLYCAB.NS,N200
PFC.NS,N200
PRESTIGE.NS,N200
RECLTD.NS,N200
SRTRANSFIN.NS,N200
SONACOMS.NS,N200
SUNTV.NS,N200
SYNGENE.NS,N200
TVSMOTOR.NS,N200
TATACHEM.NS,N200
TATACOMM.NS,N200
TATAELXSI.NS,N200
TATAPOWER.NS,N200
RAMCOCEM.NS,N200
TORNTPOWER.NS,N200
TRENT.NS,N200
TRIDENT.NS,N200
UNIONBANK.NS,N200
UBL.NS,N200
VBL.NS,N200
IDEA.NS,N200
VOLTAS.NS,N200
WHIRLPOOL.NS,N200
YESBANK.NS,N200
ZEEL.NS,N200
